105學年度全國大學校院及校長名錄,,,,,,,,,,,
匯出時間:106.02.18,,,,,,,,,,,
序號,學校代碼,學校名稱,學校英文名稱,職稱,姓名,郵遞區號,地址,學校總機,學校傳真,網址,
105,1056,東南科技大學,Tungnan University,校長,李清吟,22202,新北市深坑區北深路三段152號,02-8662-5859,02-2662-4052,http://www.tnu.edu.tw/,
106,1057,德明財經科技大學,Takming University of Science and Technology,校長,徐守德,11451,臺北市內湖區環山路一段56號,02-2658-5801,02-2658-2507,http://www.takming.edu.tw/,
107,1058,明道學校財團法人明道大學,MINGDAO UNIVERSITY,校長,郭秋勳,52345,彰化縣埤頭鄉文化路369號,04-887-6660#1141,04-878-3145,http://www.mdu.edu.tw,
108,1060,南開科技大學,Nan Kai University of Technology,校長,孫台平,54243,南投縣草屯鎮中正路568號,049-256-3489,049-256-3788,http://www.nkut.edu.tw/,
109,1061,中華學校財團法人中華科技大學,China University of Science and Technology,校長,李宗霖,11581,臺北市南港區研究院路三段245號,02-2782-1862,02-2788-9145,http://www.cust.edu.tw,
110,1062,僑光科技大學,Overseas Chinese University,校長,楊敏華,40721,臺中市西屯區僑光路100號,04-2701-6855,04-2707-5420,http://www.ocu.edu.tw/bin/home.php,
111,1063,廣亞學校財團法人育達科技大學,Yu Da University of Science and Technology,校長,陳建勝,36143,苗栗縣造橋鄉談文村學府路168號,037-651-188,037-651-201,http://www.ydu.edu.tw/,
112,1064,美和學校財團法人美和科技大學,Meiho University,校長,陳景川,91202,屏東縣內埔鄉美和村屏光路23號,08-779-9821#8115,08-779-9711,http://www.meiho.edu.tw/,
113,1065,吳鳳科技大學,WuFeng University,校長,蘇銘宏,62153,嘉義縣民雄鄉建國路二段117號,05-226-7125,05-206-3455,http://www.wfu.edu.tw,
114,1066,環球學校財團法人環球科技大學,TransWorld University,校長,陳益興,64063,雲林縣斗六市嘉東里鎮南路1221號,05-537-0988,05-537-0989,http://www.twu.edu.tw/,
115,1067,台灣首府學校財團法人台灣首府大學,Taiwan Shoufu University,校長,許光華,72153,臺南市麻豆區南勢里168號,06-571-8888#331,06-572-2858,http://www.tsu.edu.tw,
116,1068,中州學校財團法人中州科技大學,Chung Chou University of Science and Technology,校長,曾慶瀛,51003,彰化縣員林市山腳路三段2巷6號,04-835-9000#0,無,http://www.ccut.edu.tw,
117,1069,修平學校財團法人修平科技大學,Hsiuping University of Science and Technology,校長,鍾瑞國,41280,臺中市大里區工業路11號,04-2496-1100,04-2496-1187,http://www.hust.edu.tw/,
118,1070,長庚學校財團法人長庚科技大學,Chang Gung University of Science and Technology,校長,樓迎統,33303,桃園市龜山區文化一路261號,03-211-8999#8,03-211-8866,http://www.cgust.edu.tw,
119,1071,城市學校財團法人臺北城市科技大學,Taipei City University of Science and Technology,校長,連信仲,11202,臺北市北投區學園路2號,02-2892-7154#3200,02-2892-8117,http://www.tpcu.edu.tw,
120,1072,大華學校財團法人大華科技大學,Ta Hwa University of Science and Technology,校長,李右婷,30740,新竹縣芎林鄉大華路1號,03-592-7700#2106,03-592-7871,http://www.tust.edu.tw/,
